Vélos électriques disponibles,Vélos mécaniques disponibles,Nombre total vélos disponibles,Nombre bornettes libres,Capacité de la station
6.4863813229571985,1.8780804150453956,8.364461738002595,27.085603112840467,36.0
3.9633848657445077,2.965012205044752,6.928397070789259,17.61106590724166,25.0
6.441538461538461,13.891538461538461,20.333076923076923,8.845384615384615,30.0
3.731853906611188,1.197411003236246,4.929264909847434,8.41793804900601,14.0
2.6902374670184694,2.1224274406332455,4.812664907651715,19.6,25.0
1.7800261096605745,3.077676240208877,4.857702349869451,6.965404699738904,12.0
2.690551181102362,3.733464566929134,6.424015748031496,13.590944881889763,21.0
5.882352941176471,6.082457983193278,11.964810924369749,26.605042016806724,40.0
3.7991137370753325,4.306253077301822,8.105366814377154,43.0,52.0
7.359063313096271,5.748048568950564,13.107111882046834,15.209887250650477,30.0
1.393305439330544,1.298744769874477,2.692050209205021,28.188284518828453,31.0
4.065873353166171,3.157246068848279,7.22311942201445,37.06162345941352,45.0
7.025982461838259,11.914582656706722,18.94056511854498,34.08736602793115,59.0
1.4342507645259939,2.144167758846658,3.578418523372652,19.1218872870249,24.0
2.4147783251231525,4.933990147783251,7.348768472906404,19.88423645320197,28.0
4.573666177190407,5.636319138521782,10.209985315712188,21.50758688203622,33.0
4.59375,7.369140625,11.962890625,7.410546875,21.0
3.325914149443561,9.9697933227345,13.29570747217806,44.1456279809221,60.0
11.054848966613672,3.434817170111288,14.48966613672496,6.901430842607313,22.0
4.180632212744606,3.166081284495735,7.346713497240342,28.042147516307075,36.0
2.549660703269587,0.9673041332510796,3.5169648365206663,13.180135718692165,17.0
3.049568276303166,9.952350495682763,13.00191877198593,15.490885833066837,30.0
13.61574074074074,4.500578703703703,18.116319444444443,11.628472222222221,31.0
5.137777777777778,4.02,9.157777777777778,17.456888888888887,28.0
2.93255620316403,3.990840965861782,6.923397169025812,42.41715237302248,50.0
7.70061099796334,4.807739307535641,12.50835030549898,14.310794297352341,29.0
4.349474645957058,4.3481041571493835,8.697578803106442,13.141160347190498,23.0
2.6831530139103554,5.8268933539412675,8.510046367851622,15.958784131890779,25.0
5.68861985472155,3.970944309927361,9.659564164648911,20.43050847457627,31.0
3.3888559573206876,2.5174866627148784,5.906342620035566,21.91701244813278,29.0
3.6534186594813067,10.534523408555069,14.187942068036376,39.244189962950486,55.0
5.972764412165229,10.63141171130277,16.604176123467997,11.258738084430322,30.0
2.503453568687644,1.6051419800460476,4.108595548733692,20.317344589409057,28.0
3.4803994082840237,6.402366863905326,9.882766272189349,16.159023668639055,27.0
6.64562027567808,4.366385060026679,11.012005335704758,15.87594486438417,28.0
4.673847189498486,10.140356782228206,14.814203971726691,11.500504880511611,28.0
4.089401820546164,7.505201560468141,11.594603381014304,10.887516254876463,25.0
3.4730421094057458,10.53482880755608,14.007870916961826,16.25383707201889,31.0
3.7215041128084607,4.295534665099883,8.017038777908343,16.2497062279671,25.0
3.7973760932944605,4.76530612244898,8.56268221574344,6.896015549076774,16.0
7.654437283093704,6.094695091720377,13.74913237481408,7.518591968269708,22.0
5.956996827634826,18.560451180824813,24.517448008459642,5.234050052872753,25.0
2.1059204440333024,2.963459759481961,5.069380203515264,19.383441258094358,25.0
5.250224618149146,4.098382749326146,9.348607367475292,19.18867924528302,29.0
3.2942779291553133,2.6021798365122617,5.8964577656675745,19.259945504087195,26.0
4.2602010644589,4.774689532820816,9.034890597279716,16.202247191011235,26.0
4.265327150953117,4.424008243173621,8.689335394126738,14.004636785162287,23.0
1.2274305555555556,1.771412037037037,2.9988425925925926,29.552662037037038,33.0
4.255087553241836,6.770941788925698,11.026029342167535,20.00567912920019,32.0
3.505841121495327,5.871495327102804,9.37733644859813,25.13609813084112,35.0
9.575532274417032,12.78877999324096,22.364312267657994,37.63298411625549,63.0
2.465049104563836,2.2507221259387635,4.715771230502599,14.936452917388793,20.0
2.7224255096706744,3.1238891792995296,5.846314688970204,16.848405645582854,23.0
2.8864236661384046,4.341785525620708,7.228209191759112,18.27205493924987,26.0
2.8657742402315485,12.668958031837915,15.534732272069464,41.366497829233,60.0
3.955801104972376,2.940733299849322,6.896534404821698,32.487192365645406,40.0
8.220538082607048,3.618037135278515,11.838575217885563,31.552482000757863,45.0
6.775952693823916,3.9993429697766096,10.775295663600525,7.231274638633377,19.0
8.625629722921914,26.49874055415617,35.124370277078086,12.806360201511335,42.0
4.057458143074581,9.204337899543379,13.261796042617961,18.683409436834093,33.0
7.2904005524861875,2.7527624309392267,10.043162983425415,24.912638121546962,36.0
3.791967871485944,2.2502008032128513,6.042168674698795,20.638152610441768,28.0
3.133839582344566,17.55766492643569,20.691504508780255,14.400569530137636,36.0
6.429158110882957,3.7859342915811087,10.215092402464066,19.09240246406571,30.0
7.2023809523809526,14.354910714285714,21.557291666666668,5.006696428571429,28.0
5.022543352601156,10.09942196531792,15.121965317919075,20.258959537572256,36.0
4.394093216428242,4.488232579603138,8.88232579603138,29.980156898938624,40.0
3.608545533016832,3.5321536469572723,7.140699179974105,12.716443677168753,21.0
6.3026424442609414,13.297274979355905,19.599917423616844,8.198596201486374,30.0
5.958152173913043,4.967391304347826,10.92554347826087,10.273913043478261,22.0
3.664208735110607,2.149177538287011,5.813386273397618,8.699943278502552,15.0
2.5337361530715006,8.91742195367573,11.451158106747231,10.77173548170527,23.0
6.90095113151853,17.74385044276812,24.644801574286653,35.015414890127914,62.0
2.8281542493448146,9.215649569449644,12.043803818794458,12.476600524148258,27.0
2.2186870720902134,1.5602094240837696,3.7788964961739833,23.43858236004833,28.0
